"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","GeneName","significance","negLog10FDR"
-1.59125,-4.71428333333333,-36.9756381358599,4.13955772696558e-07,7.22598369106136e-05,7.6653683641353,"HNRNPCL2","heterogeneous nuclear ribonucleoprotein C like 2","Down",4.14110302296313
-1.5865,-4.71586666666667,-36.8880579499845,4.18706436720954e-07,7.22598369106136e-05,7.65490920535227,"LOC105370601","uncharacterized LOC105370601","Down",4.14110302296313
-1.5865,-4.71586666666667,-36.8880579499845,4.18706436720954e-07,7.22598369106136e-05,7.65490920535227,"OR2A14","olfactory receptor family 2 subfamily A member 14","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"ASTN2-AS1","ASTN2 antisense RNA 1","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"SUPT20HL1","SUPT20H like 1","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"OTX2-AS1","OTX2 antisense RNA 1 (head to head)","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LINC02478","long intergenic non-protein coding RNA 2478","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LRCOL1","leucine rich colipase like 1","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"ADAMTS9-AS2","ADAMTS9 antisense RNA 2","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"MIR4785","microRNA 4785","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"NAV2-AS3","NAV2 antisense RNA 3","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"SRGAP3-AS2","SRGAP3 antisense RNA 2","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"CCDC182","coiled-coil domain containing 182","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LINC01444","long intergenic non-protein coding RNA 1444","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"ZCCHC14-DT","ZCCHC14 divergent transcript","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC101929902","uncharacterized LOC101929902","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"ITGA6-AS1","ITGA6 antisense RNA 1","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"RCAN2","regulator of calcineurin 2","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"MIR6875","microRNA 6875","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LINC01461","long intergenic non-protein coding RNA 1461","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"IUR1","imatinib upregulated ABL suppressing lncRNA 1","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC105369666","uncharacterized LOC105369666","Down",4.14110302296313
-1.5849,-4.7164,-36.8587838625479,4.20309019230076e-07,7.22598369106136e-05,7.65140503109074,"LOC105369682","uncharacterized LOC105369682","Down",4.14110302296313
